"PVWatts Hourly PV Performance Data"
"Requested Location","canberra, act, australia"
"Location","Lat, Lng: -35.31, 149.14"
"Latitude (DD)","-35.31"
"Longitude (DD)","149.14"
"Elevation (m)","572"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","35.31"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","2","22","0","0","13.5","0.8","0.2","0","13.5","0","0"
"4","2","23","0","0","13","0.8","0.2","0","13","0","0"
"4","3","0","0","0","12.5","0.8","0.2","0","12.5","0","0"
"4","3","1","0","0","11.9","0.8","0.2","0","11.9","0","0"
"4","3","2","0","0","11.4","0.8","0.2","0","11.4","0","0"
"4","3","3","0","0","11.2","0.8","0.2","0","11.2","0","0"
"4","3","4","0","0","11.2","0.8","0.2","0","11.2","0","0"
"4","3","5","0","0","11.6","0.8","0.2","0","11.6","0","0"
"4","3","6","50","12","13.1","0.8","0.2","18.902","13.615","94.388","51.408"
"4","3","7","146","116","15.6","0.9","0.2","166.052","20.787","1384.802","1296.097"
"4","3","8","189","245","18.3","1","0.2","355.223","29.169","2987.702","2842.2"
"4","3","9","821","91","19.9","1","0.2","750.483","42.869","6034.885","5781.409"
"4","3","10","850","105","23.3","1.3","0.2","900.142","48.847","6999.385","6711.733"
"4","3","11","865","112","24.3","1.5","0.2","987.065","51.024","7566.117","7258.384"
"4","3","12","862","116","24.8","1.6","0.2","995.245","51.149","7620.158","7310.51"
"4","3","13","189","458","25","1.6","0.2","647.224","42.085","5102.159","4881.733"
"4","3","14","808","101","24.7","1.5","0.2","782.208","45.931","6195.886","5936.705"
"4","3","15","709","94","24","1.2","0.2","564.033","40.464","4610.903","4407.885"
"4","3","16","564","68","22.2","0.8","0.2","312.627","32.244","2556.51","2426.287"
"4","3","17","70","30","20.2","0.7","0.2","44.133","21.577","289.2","239.317"
"4","3","18","0","0","19.2","0.7","0.2","0","19.2","0","0"
"4","3","19","0","0","18.8","0.7","0.2","0","18.8","0","0"
"4","3","20","0","0","18.5","0.7","0.2","0","18.5","0","0"
"4","3","21","0","0","18","0.7","0.2","0","18","0","0"
"4","3","22","0","0","17.6","0.6","0.2","0","17.6","0","0"
"4","3","23","0","0","17.3","0.6","0.2","0","17.3","0","0"
"4","4","0","0","0","17","0.6","0.2","0","17","0","0"
"4","4","1","0","0","16.4","0.5","0.2","0","16.4","0","0"
"4","4","2","0","0","15.6","0.5","0.2","0","15.6","0","0"
"4","4","3","0","0","14.9","0.5","0.2","0","14.9","0","0"
"4","4","4","0","0","14.2","0.6","0.2","0","14.2","0","0"
"4","4","5","0","0","13.9","0.6","0.2","0","13.9","0","0"
"4","4","6","73","14","15.2","0.8","0.2","26.552","15.922","132.46","88.131"
"4","4","7","501","63","17.6","1.1","0.2","252.478","25.055","2056.733","1944.219"
"4","4","8","689","88","19.8","1","0.2","510.699","35.476","4267.775","4076.915"
"4","4","9","790","100","20.9","1","0.2","736.557","43.442","5908.723","5659.718"
"4","4","10","854","101","23.2","1","0.2","899.761","50.683","6945.524","6659.781"
"4","4","11","883","101","24.1","1.1","0.2","993.073","53.652","7531.403","7224.9"
"4","4","12","887","99","24.5","1.2","0.2","1001.705","53.587","7595.452","7286.679"
"4","4","13","850","108","24.6","1.1","0.2","922.764","52.078","7069.97","6779.817"
"4","4","14","806","101","24.4","1","0.2","779.78","48.252","6119.725","5863.243"
"4","4","15","728","88","23.8","0.7","0.2","568.85","42.688","4611.781","4408.732"
"4","4","16","575","66","22.4","0.5","0.2","314.538","33.384","2558.751","2428.449"
"4","4","17","201","26","20.8","0.5","0.2","66.53","22.926","402.889","348.977"
"4","4","18","0","0","19.6","0.7","0.2","0","19.6","0","0"
"4","4","19","0","0","18.5","0.8","0.2","0","18.5","0","0"
"4","4","20","0","0","17.4","0.8","0.2","0","17.4","0","0"
"4","4","21","0","0","16.4","0.8","0.2","0","16.4","0","0"
"4","4","22","0","0","15.8","0.7","0.2","0","15.8","0","0"
"4","4","23","0","0","15.6","0.6","0.2","0","15.6","0","0"
"4","5","0","0","0","15.4","0.6","0.2","0","15.4","0","0"
"4","5","1","0","0","15.3","0.5","0.2","0","15.3","0","0"
"4","5","2","0","0","15.1","0.6","0.2","0","15.1","0","0"
"4","5","3","0","0","14.9","0.6","0.2","0","14.9","0","0"
"4","5","4","0","0","14.7","0.5","0.2","0","14.7","0","0"
"4","5","5","0","0","14.6","0.5","0.2","0","14.6","0","0"
"4","5","6","85","14","15.3","0.6","0.2","28.381","16.109","139.712","95.125"
"4","5","7","524","61","16.9","0.7","0.2","259.503","25.403","2111.697","1997.236"
"4","5","8","716","84","19.2","0.7","0.2","523.028","36.58","4355.261","4161.301"
"4","5","9","814","94","20.4","0.8","0.2","749.315","44.562","5986.623","5734.857"
"4","5","10","833","115","23","0.8","0.2","904.348","52.097","6936.975","6651.534"
"4","5","11","848","122","24","0.8","0.2","991.034","55.852","7442.404","7139.054"
"4","5","12","848","122","24.5","0.8","0.2","997.432","56.555","7464.432","7160.301"
"4","5","13","870","99","24.6","0.7","0.2","931.216","55.381","7038.248","6749.219"
"4","5","14","821","94","24.4","0.7","0.2","783.565","50.347","6099.274","5843.517"
"4","5","15","741","83","23.7","0.7","0.2","569.289","42.606","4620.047","4416.705"
"4","5","16","497","78","22.3","0.7","0.2","293.776","31.996","2399.575","2274.913"
"4","5","17","127","27","20.4","0.7","0.2","55.269","22.092","345.377","293.504"
"4","5","18","0","0","19","0.9","0.2","0","19","0","0"
"4","5","19","0","0","18.2","1","0.2","0","18.2","0","0"
"4","5","20","0","0","17.6","1","0.2","0","17.6","0","0"
"4","5","21","0","0","17.1","0.9","0.2","0","17.1","0","0"
"4","5","22","0","0","16.6","0.8","0.2","0","16.6","0","0"
"4","5","23","0","0","16.1","0.7","0.2","0","16.1","0","0"
"4","6","0","0","0","15.6","0.6","0.2","0","15.6","0","0"
"4","6","1","0","0","15.2","0.6","0.2","0","15.2","0","0"
"4","6","2","0","0","14.9","0.6","0.2","0","14.9","0","0"
"4","6","3","0","0","14.6","0.5","0.2","0","14.6","0","0"
"4","6","4","0","0","14.3","0.5","0.2","0","14.3","0","0"
"4","6","5","0","0","14.1","0.5","0.2","0","14.1","0","0"
"4","6","6","64","13","14.7","0.6","0.2","24.843","15.418","125.277","81.202"
"4","6","7","493","64","16.4","0.8","0.2","252.059","24.441","2059.744","1947.124"
"4","6","8","690","89","18.7","0.8","0.2","513.817","35.317","4298.863","4106.901"
"4","6","9","791","101","19.9","0.8","0.2","739.344","43.74","5926.957","5677.306"
"4","6","10","858","101","22.6","1","0.2","903.714","50.208","6993.366","6705.928"
"4","6","11","876","106","23.7","1.2","0.2","991.141","52.486","7557.281","7249.861"
"4","6","12","870","110","24.1","1.5","0.2","995.577","51.058","7632.975","7322.873"
"4","6","13","799","131","24.2","1.7","0.2","907.253","47.722","7078.674","6788.213"
"4","6","14","156","371","23.9","1.7","0.2","494.704","36.704","4004.874","3823.33"
"4","6","15","169","260","23.2","1.5","0.2","368.794","33.208","3047.792","2900.161"
"4","6","16","10","63","21.8","1","0.2","56.907","23.54","456.589","400.774"
"4","6","17","73","24","20","0.7","0.2","38.693","21.179","236.013","188.014"
"4","6","18","0","0","19","0.8","0.2","0","19","0","0"
"4","6","19","0","0","18.6","0.8","0.2","0","18.6","0","0"
"4","6","20","0","0","18.4","0.9","0.2","0","18.4","0","0"
"4","6","21","0","0","18.2","1.1","0.2","0","18.2","0","0"
"4","6","22","0","0","18.4","1.4","0.2","0","18.4","0","0"
"4","6","23","0","0","18.5","1.7","0.2","0","18.5","0","0"
"4","7","0","0","0","18.2","1.8","0.2","0","18.2","0","0"
"4","7","1","0","0","17.4","1.9","0.2","0","17.4","0","0"
"4","7","2","0","0","16.6","2","0.2","0","16.6","0","0"
"4","7","3","0","0","15.5","2","0.2","0","15.5","0","0"
"4","7","4","0","0","13.8","1.6","0.2","0","13.8","0","0"
"4","7","5","0","0","12.1","1.2","0.2","0","12.1","0","0"
"4","7","6","214","13","11.8","1.4","0.2","48.851","12.882","228.344","180.617"
"4","7","7","736","45","13.2","1.7","0.2","319.866","21.412","2646.196","2512.795"
"4","7","8","894","56","15.1","1.7","0.2","593.823","30.59","5081.076","4861.398"
"4","7","9","972","62","16","1.5","0.2","831.793","38.607","6817.056","6535.865"
"4","7","10","985","76","18.6","1.1","0.2","992.63","48.183","7743.965","7429.93"
"4","7","11","992","80","19.9","0.9","0.2","1077.212","53.639","8167.725","7838.674"
"4","7","12","985","81","20.6","1","0.2","1077.958","53.503","8175.129","7845.816"
"4","7","13","962","80","20.7","1.2","0.2","994.839","49.624","7705.907","7393.22"
"4","7","14","918","78","20.2","1.2","0.2","836.288","44.56","6675.717","6399.534"
"4","7","15","834","71","19.2","0.9","0.2","613.18","38.511","5070.723","4851.411"
"4","7","16","698","51","17.3","0.6","0.2","346.094","29.034","2862.376","2721.315"
"4","7","17","300","21","15","0.5","0.2","81.477","17.507","463.822","407.751"
"4","7","18","0","0","13.3","0.5","0.2","0","13.3","0","0"
"4","7","19","0","0","12.3","0.5","0.2","0","12.3","0","0"
"4","7","20","0","0","11.5","0.6","0.2","0","11.5","0","0"
"4","7","21","0","0","10.7","0.6","0.2","0","10.7","0","0"
"4","7","22","0","0","10.4","0.7","0.2","0","10.4","0","0"
"4","7","23","0","0","10.4","0.7","0.2","0","10.4","0","0"
"4","8","0","0","0","10.7","0.7","0.2","0","10.7","0","0"
"4","8","1","0","0","11","0.9","0.2","0","11","0","0"
"4","8","2","0","0","11.4","0.9","0.2","0","11.4","0","0"
"4","8","3","0","0","11.7","1","0.2","0","11.7","0","0"
"4","8","4","0","0","12","1","0.2","0","12","0","0"
"4","8","5","0","0","12.1","1.1","0.2","0","12.1","0","0"
"4","8","6","0","3","12.7","1.4","0.2","2.474","12.762","13.079","0"
"4","8","7","4","52","13.7","1.7","0.2","44.915","14.865","369.081","316.368"
"4","8","8","21","114","14.7","1.8","0.2","114.96","17.621","973.02","898.906"
"4","8","9","24","204","15.2","1.9","0.2","197.999","20.111","1670.346","1571.523"
"4","8","10","788","147","16.7","2.1","0.2","902.64","38.252","7326.022","7026.796"
"4","8","11","819","150","17.6","2.4","0.2","991.214","39.915","7951.682","7630.287"
"4","8","12","850","136","18.5","2.7","0.2","1012.985","40.093","8117.793","7790.511"
"4","8","13","895","100","18.8","2.8","0.2","953.296","38.79","7720.035","7406.848"
"4","8","14","857","91","18.3","2.7","0.2","806.692","35.548","6675.765","6399.58"
"4","8","15","777","81","17.2","2.5","0.2","587.06","30.251","5012.97","4795.705"
"4","8","16","8","59","15.6","1.9","0.2","52.598","16.909","432.783","377.812"
