"PVWatts Hourly PV Performance Data"
"Requested Location","adelaide australia"
"Location","Lat, Lng: -34.91, 138.58"
"Latitude (DD)","-34.91"
"Longitude (DD)","138.58"
"Elevation (m)","45"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","34.91"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","11","20","0","0","19.8","2.9","0.2","0","19.8","0","0"
"3","11","21","0","0","19.2","2.8","0.2","0","19.2","0","0"
"3","11","22","0","0","18.6","2.8","0.2","0","18.6","0","0"
"3","11","23","0","0","18","2.6","0.2","0","18","0","0"
"3","12","0","0","0","17.5","2.4","0.2","0","17.5","0","0"
"3","12","1","0","0","17.2","2.5","0.2","0","17.2","0","0"
"3","12","2","0","0","17","2.7","0.2","0","17","0","0"
"3","12","3","0","0","16.9","2.6","0.2","0","16.9","0","0"
"3","12","4","0","0","16.8","2.4","0.2","0","16.8","0","0"
"3","12","5","0","0","17.1","2.6","0.2","0","0","0","0"
"3","12","6","378","54","18.1","3.2","0.2","107.968","20.077","502.807","457.246"
"3","12","7","669","88","19.2","3.3","0.2","362.514","26.17","2121.24","2018.331"
"3","12","8","816","102","19.8","3.3","0.2","625.951","31.911","3694.583","3535.924"
"3","12","9","889","113","21.7","3","0.2","849.876","38.928","4829.024","4630.167"
"3","12","10","938","115","22.8","2.8","0.2","1005.512","43.859","5555.225","5330.636"
"3","12","11","954","115","23.7","2.8","0.2","1081.213","46.327","5888.135","5651.75"
"3","12","12","955","114","24.1","3","0.2","1076.609","45.874","5875.938","5639.985"
"3","12","13","938","110","24.2","3.3","0.2","987.207","43.223","5474.279","5252.558"
"3","12","14","897","102","23.7","3.5","0.2","818.748","39.015","4659.541","4466.69"
"3","12","15","828","90","22.7","3.6","0.2","596.573","33.719","3502.919","3351.051"
"3","12","16","696","71","21.1","3.5","0.2","331.982","27.258","1899.653","1804.596"
"3","12","17","395","39","19.1","3.1","0.2","83.113","20.589","345.091","305.118"
"3","12","18","0","0","17.7","3","0.2","0","0","0","0"
"3","12","19","0","0","16.8","2.9","0.2","0","16.8","0","0"
"3","12","20","0","0","16.2","2.5","0.2","0","16.2","0","0"
"3","12","21","0","0","15.8","2.1","0.2","0","15.8","0","0"
"3","12","22","0","0","15.4","1.9","0.2","0","15.4","0","0"
"3","12","23","0","0","15.1","1.7","0.2","0","15.1","0","0"
"3","13","0","0","0","14.8","1.6","0.2","0","14.8","0","0"
"3","13","1","0","0","14.5","1.4","0.2","0","14.5","0","0"
"3","13","2","0","0","14.2","1.4","0.2","0","14.2","0","0"
