"PVWatts Hourly PV Performance Data"
"Requested Location","perth australia"
"Location","Lat, Lng: -31.95, 115.86"
"Latitude (DD)","-31.95"
"Longitude (DD)","115.86"
"Elevation (m)","11"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","31.95"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","10","3","0","0","14","8.3","0.2","0","14","0","0"
"10","10","4","0","0","13.7","8","0.2","0","13.7","0","0"
"10","10","5","0","0","13.6","7.8","0.2","0","0","0","0"
"10","10","6","16","57","14.2","7.8","0.2","50.671","14.762","282.374","244.623"
"10","10","7","63","179","14.8","7.9","0.2","182.778","16.829","1098.951","1032.266"
"10","10","8","767","107","17.8","7.3","0.2","573.036","24.554","3471.784","3321.02"
"10","10","9","24","264","19.9","6.6","0.2","251.501","23.057","1465.097","1385.438"
"10","10","10","146","547","21.7","5.3","0.2","655.526","31.217","3752.217","3591.516"
"10","10","11","58","549","23","3.9","0.2","581.833","33.16","3283.39","3139.302"
"10","10","12","80","574","23.8","3","0.2","629.673","36.462","3511.13","3358.972"
"10","10","13","159","609","24.1","2.6","0.2","733.327","39.932","4053.843","3882.454"
"10","10","14","215","464","24","2.7","0.2","617.343","37.122","3477.598","3326.628"
"10","10","15","779","105","23.4","3.3","0.2","599.071","34.982","3482.345","3331.207"
