"PVWatts Hourly PV Performance Data"
"Requested Location","sydney australia"
"Location","Lat, Lng: -33.87, 151.22"
"Latitude (DD)","-33.87"
"Longitude (DD)","151.22"
"Elevation (m)","38"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","33.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","29","13","844","73","19.2","3","0.2","838.281","36.247","4870.901","4670.56"
"7","29","14","793","67","19.1","2.9","0.2","694.843","33.498","4112.971","3939.487"
"7","29","15","690","55","18.6","2.9","0.2","479.532","28.551","2902.339","2771.753"
"7","29","16","448","34","17.6","3.1","0.2","219.404","21.89","1216.895","1146.031"
"7","29","17","0","0","16.8","3.2","0.2","0","0","0","0"
"7","29","18","0","0","16.4","3.2","0.2","0","16.4","0","0"
"7","29","19","0","0","16","3.2","0.2","0","16","0","0"
"7","29","20","0","0","15.6","3.1","0.2","0","15.6","0","0"
"7","29","21","0","0","15.2","2.9","0.2","0","15.2","0","0"
"7","29","22","0","0","14.8","2.7","0.2","0","14.8","0","0"
"7","29","23","0","0","14.3","2.5","0.2","0","14.3","0","0"
"7","30","0","0","0","13.8","2.4","0.2","0","13.8","0","0"
"7","30","1","0","0","13.3","2.3","0.2","0","13.3","0","0"
"7","30","2","0","0","12.9","2.3","0.2","0","12.9","0","0"
"7","30","3","0","0","12.7","2.5","0.2","0","12.7","0","0"
"7","30","4","0","0","12.7","2.5","0.2","0","12.7","0","0"
"7","30","5","0","0","12.8","2.4","0.2","0","12.8","0","0"
"7","30","6","0","0","13.1","2.2","0.2","0","0","0","0"
"7","30","7","0","31","13.7","2","0.2","26.47","14.337","142.212","109.428"
"7","30","8","21","107","14.6","1.9","0.2","109.475","17.328","651.511","600.681"
"7","30","9","20","144","15.1","1.8","0.2","143.68","18.75","853.66","795.667"
"7","30","10","63","288","17.6","2","0.2","351.555","26.156","2071.55","1970.401"
"7","30","11","10","68","18.5","2.1","0.2","69.993","20.167","397.509","355.679"
"7","30","12","23","195","18.9","2.1","0.2","196.27","23.575","1142.722","1074.486"
"7","30","13","105","310","18.9","2.3","0.2","415.37","28.433","2437.608","2323.489"
"7","30","14","111","241","18.7","2.6","0.2","334.231","25.972","1987.322","1889.159"
"7","30","15","20","107","18","2.9","0.2","108.565","20.242","638.212","587.852"
"7","30","16","47","50","17.1","3.3","0.2","69.142","18.417","380.831","339.592"
"7","30","17","0","0","16.4","3.7","0.2","0","0","0","0"
"7","30","18","0","0","16.1","4","0.2","0","16.1","0","0"
"7","30","19","0","0","15.8","4.2","0.2","0","15.8","0","0"
"7","30","20","0","0","15.6","4.4","0.2","0","15.6","0","0"
"7","30","21","0","0","15.4","4.4","0.2","0","15.4","0","0"
"7","30","22","0","0","15.2","4.4","0.2","0","15.2","0","0"
"7","30","23","0","0","15","4.5","0.2","0","15","0","0"
"7","31","0","0","0","14.8","4.5","0.2","0","14.8","0","0"
"7","31","1","0","0","14.6","4.5","0.2","0","14.6","0","0"
"7","31","2","0","0","14.4","4.6","0.2","0","14.4","0","0"
"7","31","3","0","0","14.3","4.7","0.2","0","14.3","0","0"
"7","31","4","0","0","14.2","4.8","0.2","0","14.2","0","0"
"7","31","5","0","0","14.2","4.8","0.2","0","14.2","0","0"
"7","31","6","0","0","14.3","4.7","0.2","0","0","0","0"
"7","31","7","0","19","14.8","4.7","0.2","15.94","15.048","83.643","52.935"
"7","31","8","6","65","15.4","4.8","0.2","58.566","16.312","340.841","301.018"
"7","31","9","56","217","15.6","4.9","0.2","262.878","19.639","1588.896","1504.85"
"7","31","10","148","315","16.4","4.8","0.2","472.545","23.746","2833.654","2705.502"
"7","31","11","135","354","16.6","4.8","0.2","497.967","24.332","2968.081","2835.166"
"7","31","12","834","89","16.6","4.8","0.2","911.727","30.811","5379.32","5160.965"
"7","31","13","796","91","16.5","4.8","0.2","826.79","29.399","4927.252","4724.915"
"7","31","14","736","84","16.2","4.7","0.2","672.422","26.848","4078.407","3906.148"
"7","31","15","161","152","15.8","4.5","0.2","260.04","20.023","1586.658","1502.691"
"7","31","16","90","53","15.2","4.3","0.2","94.176","16.745","528.098","481.64"
"7","31","17","0","0","14.8","4.2","0.2","0","0","0","0"
"7","31","18","0","0","14.6","4.2","0.2","0","14.6","0","0"
"7","31","19","0","0","14.4","4","0.2","0","14.4","0","0"
"7","31","20","0","0","14.2","3.9","0.2","0","14.2","0","0"
"7","31","21","0","0","14","3.7","0.2","0","14","0","0"
