"PVWatts Hourly PV Performance Data"
"Requested Location","brisbane, qld, australia"
"Location","Lat, Lng: -27.47, 153.02"
"Latitude (DD)","-27.47"
"Longitude (DD)","153.02"
"Elevation (m)","18"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","27.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","10","18","0","0","23.4","2.4","0.2","0","0","0","0"
"3","10","19","0","0","23","2.5","0.2","0","23","0","0"
"3","10","20","0","0","22.6","2.6","0.2","0","22.6","0","0"
"3","10","21","0","0","22.4","2.5","0.2","0","22.4","0","0"
"3","10","22","0","0","22.1","2.5","0.2","0","22.1","0","0"
"3","10","23","0","0","22","2.5","0.2","0","22","0","0"
"3","11","0","0","0","21.9","2.6","0.2","0","21.9","0","0"
"3","11","1","0","0","21.7","2.6","0.2","0","21.7","0","0"
"3","11","2","0","0","21.6","2.6","0.2","0","21.6","0","0"
"3","11","3","0","0","21.4","2.6","0.2","0","21.4","0","0"
"3","11","4","0","0","21.3","2.6","0.2","0","21.3","0","0"
"3","11","5","0","0","21.6","2.9","0.2","0","0","0","0"
"3","11","6","0","41","22.6","3.4","0.2","36.281","23.285","278.419","228.918"
"3","11","7","23","141","23.5","3.7","0.2","135.481","25.956","1112.465","1033.41"
"3","11","8","46","300","24.4","3.8","0.2","310.05","29.924","2550.933","2420.907"
"3","11","9","905","93","24.7","3.8","0.2","825.232","39.435","6673.431","6397.33"
"3","11","10","132","564","25.3","3.8","0.2","670.011","37.185","5340.915","5112.029"
"3","11","11","890","141","25.6","3.8","0.2","1034.212","44.014","8100.925","7774.241"
"3","11","12","900","134","25.6","3.9","0.2","1035.68","43.772","8122.177","7794.74"
"3","11","13","26","142","25.6","3.9","0.2","155.485","28.317","1238.159","1154.651"
"3","11","14","840","121","25.3","4","0.2","798.458","39.144","6462.449","6193.823"
"3","11","15","31","259","24.9","3.9","0.2","254.368","29.366","2086.257","1972.697"
"3","11","16","80","182","24.2","3.7","0.2","198.215","27.791","1633.148","1535.643"
"3","11","17","22","51","23.3","3.2","0.2","48.394","24.235","362.74","310.251"
"3","11","18","0","0","22.6","3","0.2","0","0","0","0"
"3","11","19","0","0","22.4","2.9","0.2","0","22.4","0","0"
"3","11","20","0","0","22.3","2.8","0.2","0","22.3","0","0"
"3","11","21","0","0","22.2","2.6","0.2","0","22.2","0","0"
"3","11","22","0","0","22.1","2.5","0.2","0","22.1","0","0"
"3","11","23","0","0","21.9","2.4","0.2","0","21.9","0","0"
"3","12","0","0","0","21.7","2.5","0.2","0","21.7","0","0"
"3","12","1","0","0","21.5","2.6","0.2","0","21.5","0","0"
"3","12","2","0","0","21.3","2.7","0.2","0","21.3","0","0"
"3","12","3","0","0","21.2","2.8","0.2","0","21.2","0","0"
"3","12","4","0","0","21.2","2.9","0.2","0","21.2","0","0"
"3","12","5","0","0","21.6","3.1","0.2","0","0","0","0"
"3","12","6","416","44","22.7","3.6","0.2","102.373","24.433","639.471","577.176"
"3","12","7","710","72","23.7","4.1","0.2","355.799","29.754","2914.185","2771.288"
"3","12","8","839","87","24.5","4.3","0.2","614.817","34.749","5119.078","4898.053"
"3","12","9","92","456","24.8","4.4","0.2","511.2","33.141","4155.279","3968.405"
"3","12","10","937","103","25.4","4.5","0.2","983.072","41.274","7824.139","7507.263"
"3","12","11","951","106","25.6","4.5","0.2","1061.294","42.723","8359.848","8023.99"
"3","12","12","98","595","25.6","4.5","0.2","678.257","36.488","5401.223","5170.201"
"3","12","13","909","118","25.4","4.5","0.2","966.114","41","7699.417","7386.961"
"3","12","14","25","303","25.1","4.5","0.2","296.289","29.867","2408.042","2283.08"
"3","12","15","805","96","24.7","4.5","0.2","591.867","34.302","4937.566","4722.973"
"3","12","16","679","75","24","4.3","0.2","335.276","29.538","2727.065","2590.798"
"3","12","17","380","41","23","3.8","0.2","87.704","24.426","529.719","471.313"
"3","12","18","0","0","22.2","3.7","0.2","0","0","0","0"
"3","12","19","0","0","21.9","3.7","0.2","0","21.9","0","0"
"3","12","20","0","0","21.6","3.6","0.2","0","21.6","0","0"
"3","12","21","0","0","21.5","3.5","0.2","0","21.5","0","0"
"3","12","22","0","0","21.4","3.4","0.2","0","21.4","0","0"
"3","12","23","0","0","21.3","3.3","0.2","0","21.3","0","0"
"3","13","0","0","0","21.1","3.3","0.2","0","21.1","0","0"
"3","13","1","0","0","21","3.2","0.2","0","21","0","0"
"3","13","2","0","0","20.9","3.2","0.2","0","20.9","0","0"
"3","13","3","0","0","20.7","3.2","0.2","0","20.7","0","0"
"3","13","4","0","0","20.7","3.2","0.2","0","20.7","0","0"
"3","13","5","0","0","21.1","3.4","0.2","0","0","0","0"
"3","13","6","439","43","22.2","3.8","0.2","105.435","23.927","655.761","592.889"
"3","13","7","723","72","23.4","4.3","0.2","362.011","29.391","2972.366","2827.408"
"3","13","8","847","87","24.4","4.4","0.2","620.999","34.611","5174.624","4951.631"
"3","13","9","912","96","24.8","4.5","0.2","836.169","38.327","6792.58","6512.257"
