"PVWatts Hourly PV Performance Data"
"Requested Location","sydney, nsw, australia"
"Location","Lat, Lng: -33.87, 151.22"
"Latitude (DD)","-33.87"
"Longitude (DD)","151.22"
"Elevation (m)","38"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","33.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"6","13","11","66","190","21","2.6","0.2","246.948","26.363","2063.046","1950.309"
"6","13","12","0","76","22.2","2.5","0.2","64.124","23.616","511.323","453.569"
"6","13","13","0","91","22.6","2.1","0.2","77.306","24.444","621.865","560.195"
"6","13","14","172","132","22.3","1.9","0.2","264.705","28.909","2230.655","2111.979"
"6","13","15","275","74","21.6","2","0.2","249.914","27.715","2114.476","1999.916"
"6","13","16","81","21","20.7","2.3","0.2","57.507","21.84","302.913","252.544"
"6","13","17","0","0","19.9","3.1","0.2","0","19.9","0","0"
"6","13","18","0","0","19","3.8","0.2","0","19","0","0"
"6","13","19","0","0","18.1","4.1","0.2","0","18.1","0","0"
"6","13","20","0","0","17.3","3.9","0.2","0","17.3","0","0"
"6","13","21","0","0","16.6","3.9","0.2","0","16.6","0","0"
"6","13","22","0","0","16","3.9","0.2","0","16","0","0"
"6","13","23","0","0","15.5","3.9","0.2","0","15.5","0","0"
"6","14","0","0","0","15.2","3.8","0.2","0","15.2","0","0"
"6","14","1","0","0","14.9","3.7","0.2","0","14.9","0","0"
"6","14","2","0","0","14.4","3.6","0.2","0","14.4","0","0"
"6","14","3","0","0","14.1","3.5","0.2","0","14.1","0","0"
"6","14","4","0","0","13.8","3.2","0.2","0","13.8","0","0"
"6","14","5","0","0","13.5","2.9","0.2","0","13.5","0","0"
"6","14","6","0","0","13.4","2.7","0.2","0","0","0","0"
