"PVWatts Hourly PV Performance Data"
"Requested Location","perth, wa, australia"
"Location","Lat, Lng: -31.95, 115.86"
"Latitude (DD)","-31.95"
"Longitude (DD)","115.86"
"Elevation (m)","11"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","31.95"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","6","18","430","51","28.3","1.5","0.2","37.074","29.301","279.109","229.584"
"1","6","19","0","0","27.2","1.9","0.2","0","0","0","0"
"1","6","20","0","0","26.7","2.4","0.2","0","26.7","0","0"
"1","6","21","0","0","26.4","3","0.2","0","26.4","0","0"
"1","6","22","0","0","26.2","3.3","0.2","0","26.2","0","0"
"1","6","23","0","0","26","3.5","0.2","0","26","0","0"
"1","7","0","0","0","25.8","3.7","0.2","0","25.8","0","0"
"1","7","1","0","0","25.7","3.9","0.2","0","25.7","0","0"
"1","7","2","0","0","25.5","4.2","0.2","0","25.5","0","0"
"1","7","3","0","0","25.4","4.5","0.2","0","25.4","0","0"
"1","7","4","0","0","25.1","4.7","0.2","0","25.1","0","0"
"1","7","5","0","4","25.3","4.7","0.2","3.397","25.345","14.229","0"
"1","7","6","0","23","26.2","4.4","0.2","19.602","26.521","146.742","101.906"
"1","7","7","3","54","26.9","4.1","0.2","47.001","27.703","364.663","312.106"
"1","7","8","30","290","30.3","3.5","0.2","261.157","35.164","2084.604","1971.103"
"1","7","9","26","266","32.4","3","0.2","250.032","37.436","1954.648","1845.752"
"1","7","10","28","281","33.5","2.9","0.2","271.301","39.048","2098.366","1984.377"
"1","7","11","30","188","34","3.1","0.2","194.125","37.836","1487.81","1395.455"
"1","7","12","0","800","34.7","2.9","0.2","710.675","49.205","5336.422","5107.696"
"1","7","13","799","218","35.5","2.7","0.2","923.489","55.125","6889.596","6605.835"
"1","7","14","898","128","36.1","2.6","0.2","835.807","54.213","6303.806","6040.802"
"1","7","15","90","469","36.4","2.3","0.2","464.817","47.022","3562.185","3396.327"
"1","7","16","55","315","36.2","2.1","0.2","290.455","43.116","2253.789","2134.293"
"1","7","17","680","79","35.2","2.1","0.2","212.989","40.057","1428.569","1338.314"
"1","7","18","437","50","33.1","2.1","0.2","36.199","33.961","266.177","217.11"
"1","7","19","0","0","31.1","2.6","0.2","0","0","0","0"
"1","7","20","0","0","30","3.2","0.2","0","30","0","0"
"1","7","21","0","0","29.3","3.7","0.2","0","29.3","0","0"
"1","7","22","0","0","28.7","4","0.2","0","28.7","0","0"
"1","7","23","0","0","28.3","4","0.2","0","28.3","0","0"
"1","8","0","0","0","27.9","3.9","0.2","0","27.9","0","0"
"1","8","1","0","0","27.6","3.9","0.2","0","27.6","0","0"
"1","8","2","0","0","27.2","4.1","0.2","0","27.2","0","0"
"1","8","3","0","0","26.8","4.1","0.2","0","26.8","0","0"
"1","8","4","0","0","26.5","4.1","0.2","0","26.5","0","0"
"1","8","5","50","12","26.8","4.1","0.2","9.625","26.938","42.384","1.246"
"1","8","6","0","26","28.1","3.7","0.2","22.168","28.502","165.312","119.819"
"1","8","7","8","64","29.1","3.4","0.2","56.936","30.179","439.536","384.326"
"1","8","8","777","123","32.3","2.3","0.2","498.068","43.736","3943.902","3764.518"
"1","8","9","834","143","33.6","2","0.2","706.067","50.78","5428.745","5196.748"
"1","8","10","868","158","34.1","2.2","0.2","869.398","54.396","6537.446","6266.162"
"1","8","11","860","183","34.1","2.8","0.2","960.959","54.168","7197.205","6902.544"
"1","8","12","860","189","33.7","3.8","0.2","987.558","51.259","7477.396","7172.806"
"1","8","13","846","189","32.9","5","0.2","941.532","47.116","7268.105","6970.931"
"1","8","14","192","589","31.7","6.2","0.2","678.27","40.574","5336.376","5107.651"
"1","8","15","793","154","30.1","7","0.2","656.538","38.043","5325.486","5097.147"
"1","8","16","697","141","28.5","7.4","0.2","438.874","33.593","3576.78","3410.404"
"1","8","17","18","119","27","7.4","0.2","104.067","28.21","832.409","763.278"
"1","8","18","0","41","25.5","7.3","0.2","35.026","25.91","267.699","218.578"
"1","8","19","0","0","24.5","7.3","0.2","0","0","0","0"
"1","8","20","0","0","23.8","7.3","0.2","0","23.8","0","0"
"1","8","21","0","0","23.4","7.4","0.2","0","23.4","0","0"
"1","8","22","0","0","23.1","7.5","0.2","0","23.1","0","0"
"1","8","23","0","0","22.9","7.4","0.2","0","22.9","0","0"
