"PVWatts Hourly PV Performance Data"
"Requested Location","melbourne, vic, australia"
"Location","Lat, Lng: -37.83, 144.98"
"Latitude (DD)","-37.83"
"Longitude (DD)","144.98"
"Elevation (m)","22"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","37.83"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","6","568","69","17.2","1.5","0.2","60.473","18.754","412.567","358.312"
"1","5","7","772","87","18.8","1.4","0.2","278.026","26.266","2085.191","1971.669"
"1","5","8","881","98","20.6","1.4","0.2","519.901","35.006","4261.759","4071.112"
"1","5","9","945","106","21.5","1.4","0.2","740.352","42.014","5913.936","5664.746"
"1","5","10","979","111","24.4","1.5","0.2","910.032","49.008","7012.119","6724.016"
"1","5","11","996","113","26.1","1.8","0.2","1013.88","51.758","7684.611","7372.679"
"1","5","12","999","115","27.4","2.1","0.2","1045.012","52.265","7891.138","7571.888"
"1","5","13","986","118","28.3","2.3","0.2","999.885","51.191","7600.396","7291.448"
"1","5","14","965","114","28.8","2.4","0.2","883.385","48.666","6823.106","6541.701"
"1","5","15","766","172","28.8","2.4","0.2","660.773","43.677","5235.439","5010.291"
"1","5","16","863","99","28.4","2.3","0.2","483.524","39.474","3858.194","3681.847"
"1","5","17","752","85","27.2","2.3","0.2","240.199","32.481","1684.526","1585.201"
