"PVWatts Hourly PV Performance Data"
"Requested Location","darwin australia"
"Location","Lat, Lng: -12.47, 130.86"
"Latitude (DD)","-12.47"
"Longitude (DD)","130.86"
"Elevation (m)","2"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","12.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","15","10","835","99","29","4.2","0.2","794.412","42.394","4449.356","4263.953"
"7","15","11","870","101","30.2","3.4","0.2","899.071","47.249","4908.418","4706.748"
"7","15","12","880","100","30.8","2.5","0.2","927.665","51.294","4972.058","4768.133"
"7","15","13","869","98","31.2","1.8","0.2","880.915","53.548","4689.403","4495.494"
"7","15","14","835","93","31.2","1.5","0.2","761.892","51.867","4111.892","3938.446"
"7","15","15","767","86","30.8","1.6","0.2","585.304","46.367","3260.353","3117.081"
"7","15","16","638","70","29.8","2","0.2","360.505","38.588","2034.748","1934.904"
"7","15","17","339","38","28","2.6","0.2","118.026","30.428","549.692","502.469"
"7","15","18","0","0","26.5","3.1","0.2","0","0","0","0"
"7","15","19","0","0","25.7","3","0.2","0","25.7","0","0"
"7","15","20","0","0","25.2","2.5","0.2","0","25.2","0","0"
"7","15","21","0","0","24.7","1.9","0.2","0","24.7","0","0"
"7","15","22","0","0","24.3","1.2","0.2","0","24.3","0","0"
"7","15","23","0","0","24.1","0.8","0.2","0","24.1","0","0"
"7","16","0","0","0","23.9","0.7","0.2","0","23.9","0","0"
"7","16","1","0","0","23.8","0.9","0.2","0","23.8","0","0"
